Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Subtotal,Quantity Discount
9,USA,Western,WY,Yellow Zonkers,263,10,2630,0
11,USA,Midwest,OK,Yellow Zonkers,263,12,3156,0
10,USA,Eastern,MA,Blue Rock Candy,513,20,10260,0
7,USA,Southeast,KY,Grey Gummies,399,3,1197,0
4,USA,Midwest,WI,Blue Rock Candy,513,30,15390,0
5,USA,Eastern,FL,Grey Gummies,399,2,798,0
2,USA,Southeast,AR,Green Lightning,390,18,7020,0
4,USA,Western,CO,Red Hot Chili Peppers,425,49,20825,2083
11,USA,Eastern,VT,Grey Gummies,399,38,15162,1516
4,USA,Midwest,SD,Purple Pain,369,52,19188,1919
12,USA,Eastern,MD,Panda Gummies,148,0,0,0
8,USA,Midwest,MN,Nap Be Gone,448,43,19264,1926
4,USA,Midwest,ND,Pink Bubble Gum,324,32,10368,0
12,USA,Western,NV,Crocodile Tears,290,23,6670,0
11,USA,Eastern,NY,Yellow Zonkers,263,60,15780,1578
9,USA,Western,UT,Yellow Zonkers,263,44,11572,1157
5,USA,Western,AZ,Crocodile Tears,290,46,13340,1334
4,USA,Western,MT,Yellow Zonkers,263,36,9468,0
12,USA,Eastern,AL,Crocodile Tears,290,59,17110,1711
5,USA,Western,NV,Giant Gummies,428,12,5136,0
7,USA,Western,OR,Crocodile Tears,290,10,2900,0
1,USA,Western,WA,Nap Be Gone,448,30,13440,0
5,USA,Eastern,PA,Blue Rock Candy,513,15,7695,0
3,USA,Southeast,MS,Pink Bubble Gum,324,55,17820,1782
2,USA,Western,OR,Green Lightning,390,11,4290,0
11,USA,Eastern,NY,Crocodile Tears,290,50,14500,1450
1,USA,Eastern,WV,Yellow Zonkers,263,3,789,0
6,USA,Eastern,GA,Purple Pain,369,33,12177,0
6,USA,Western,AK,Giant Gummies,428,1,428,0
6,USA,Western,CA,Red Hot Chili Peppers,425,0,0,0
10,USA,Midwest,IL,Crocodile Tears,290,28,8120,0
4,USA,Southeast,NC,Green Lightning,390,28,10920,0
4,USA,Eastern,VT,Purple Pain,369,32,11808,0
5,USA,Western,WY,Nap Be Gone,448,16,7168,0
12,USA,Western,OR,Purple Pain,369,45,16605,1661
3,USA,Southeast,AR,Grey Gummies,399,59,23541,2354
3,USA,Midwest,IA,Red Hot Chili Peppers,425,42,17850,1785
5,USA,Southeast,TN,Giant Gummies,428,24,10272,0
1,USA,Southeast,AR,Pink Bubble Gum,324,49,15876,1588
2,USA,Eastern,ME,Green Lightning,390,42,16380,1638
1,USA,Eastern,ME,Green Lightning,390,26,10140,0
12,USA,Midwest,KS,Red Hot Chili Peppers,425,34,14450,0
11,USA,Western,MT,Green Lightning,390,18,7020,0
2,USA,Midwest,OK,Pink Bubble Gum,324,30,9720,0
9,USA,Eastern,VT,Giant Gummies,428,47,20116,2012
12,USA,Western,AK,Yellow Zonkers,263,2,526,0
7,USA,Western,OR,Giant Gummies,428,25,10700,0
2,USA,Eastern,NH,Panda Gummies,148,34,5032,0
9,USA,Western,CO,Green Lightning,390,34,13260,0
